Mês_Ano_Numérico;Índice geral Real;Índice geral Previsto
225;1.31;1.3432144280493221
1024;0.56;0.5492470406258505
120;0.21;0.2093876205491174
823;0.23;0.23641071431627986
620;0.26;0.24762950600054173
123;0.53;0.5186402332765596
521;0.83;0.8301779914595426
121;0.25;0.24236363042387227
222;1.01;1.0227741023505346
125;0.16;0.13105591998896296
824;-0.02;-0.028244601455306904
1020;0.86;0.8782694656006014
523;0.23;0.22538137946109033
